A1;2;16
A2;17;31
A3;50;64
A4;65;88
A5;89;106
A6;32;49
B1;107;121
B2;122;154
C1;155;160
C2;161;166
D1;173;182
D2;183;190
D3;167;172
D4;200;207
D5;208;212
D6;191;199
