A1;2;4;;;;;
A2;23;46;;;;;
A3;47;64;;;;;
A4;5;22;;;;;
B1;65;79;;;;;
B2;80;112;;;;;
C1;113;118;;;;;
C2;119;124;;;;;
D1;131;140;;;;;
D2;141;148;;;;;
D3;125;130;;;;;
D4;158;165;;;;;
D5;166;170;;;;;
D6;149;157;;;;;
